Tag  	Molecule                                     	Date           	Cat Link                                 Metadata Link                           
032514	15N17O                                       	January 2015   	/site/vorhersagen/catalog/c032514.cat    /cgi-bin/cdmsinfo?file=e032514.cat      
033507	15N18O                                       	January 2015   	/site/vorhersagen/catalog/c033507.cat    /cgi-bin/cdmsinfo?file=e033507.cat      
060505	Ga-n-C3H7OH                                  	January 2015   	/site/vorhersagen/catalog/c060505.cat    /cgi-bin/cdmsinfo?file=e060505.cat      
065512	SiC3H                                        	December 2014  	/site/vorhersagen/catalog/c065512.cat    /cgi-bin/cdmsinfo?file=e065512.cat      
066507	H2S2                                         	December 2014  	/site/vorhersagen/catalog/c066507.cat    /cgi-bin/cdmsinfo?file=e066507.cat      
066508	SiC2N                                        	December 2014  	/site/vorhersagen/catalog/c066508.cat    /cgi-bin/cdmsinfo?file=e066508.cat      
077511	SiC4H                                        	December 2014  	/site/vorhersagen/catalog/c077511.cat    /cgi-bin/cdmsinfo?file=e077511.cat      
078504	SiC3N                                        	December 2014  	/site/vorhersagen/catalog/c078504.cat    /cgi-bin/cdmsinfo?file=e078504.cat      
096501	cis-S2O2                                     	December 2014  	/site/vorhersagen/catalog/c096501.cat    /cgi-bin/cdmsinfo?file=e096501.cat      
028501	H13CN, v = 0                                 	November 2014  	/site/vorhersagen/catalog/c028501.cat    /cgi-bin/cdmsinfo?file=e028501.cat      
028511	H13CN, v2 = 1                                	November 2014  	/site/vorhersagen/catalog/c028511.cat    /cgi-bin/cdmsinfo?file=e028511.cat      
028520	H13CN, v2 = 2                                	November 2014  	/site/vorhersagen/catalog/c028520.cat    /cgi-bin/cdmsinfo?file=e028520.cat      
028521	H13CN, v2 = 3                                	November 2014  	/site/vorhersagen/catalog/c028521.cat    /cgi-bin/cdmsinfo?file=e028521.cat      
028522	H13CN, v3 = 1                                	November 2014  	/site/vorhersagen/catalog/c028522.cat    /cgi-bin/cdmsinfo?file=e028522.cat      
028523	H13CN, v1 = 1                                	November 2014  	/site/vorhersagen/catalog/c028523.cat    /cgi-bin/cdmsinfo?file=e028523.cat      
077510	AlC3N                                        	October 2014   	/site/vorhersagen/catalog/c077510.cat    /cgi-bin/cdmsinfo?file=e077510.cat      
017502	OH                                           	September 2014 	/site/vorhersagen/catalog/c017502.cat    /cgi-bin/cdmsinfo?file=e017502.cat      
033505	SH+                                          	September 2014 	/site/vorhersagen/catalog/c033505.cat    /cgi-bin/cdmsinfo?file=e033505.cat      
056518	SiH3CCH                                      	September 2014 	/site/vorhersagen/catalog/c056518.cat    /cgi-bin/cdmsinfo?file=e056518.cat      
057503	SiH3CN                                       	September 2014 	/site/vorhersagen/catalog/c057503.cat    /cgi-bin/cdmsinfo?file=e057503.cat      
058511	SiH313CN                                     	September 2014 	/site/vorhersagen/catalog/c058511.cat    /cgi-bin/cdmsinfo?file=e058511.cat      
058512	29SiH3CN                                     	September 2014 	/site/vorhersagen/catalog/c058512.cat    /cgi-bin/cdmsinfo?file=e058512.cat      
059508	30SiH3CN                                     	September 2014 	/site/vorhersagen/catalog/c059508.cat    /cgi-bin/cdmsinfo?file=e059508.cat      
076513	aG'g-CH3CHOHCH2OH                            	August 2014    	/site/vorhersagen/catalog/c076513.cat    /cgi-bin/cdmsinfo?file=e076513.cat      
076515	gG'a-CH3CHOHCH2OH                            	August 2014    	/site/vorhersagen/catalog/c076515.cat    /cgi-bin/cdmsinfo?file=e076515.cat      
076516	g'G'g-CH3CHOHCH2OH                           	August 2014    	/site/vorhersagen/catalog/c076516.cat    /cgi-bin/cdmsinfo?file=e076516.cat      
067504	c-C4H4NH                                     	June 2014      	/site/vorhersagen/catalog/c067504.cat    /cgi-bin/cdmsinfo?file=e067504.cat      
068507	c-C4H4O                                      	June 2014      	/site/vorhersagen/catalog/c068507.cat    /cgi-bin/cdmsinfo?file=e068507.cat      
079501	c-C5H5N                                      	June 2014      	/site/vorhersagen/catalog/c079501.cat    /cgi-bin/cdmsinfo?file=e079501.cat      
029518	H2CNH                                        	May 2014       	/site/vorhersagen/catalog/c029518.cat    /cgi-bin/cdmsinfo?file=e029518.cat      
030514	H213CNH                                      	May 2014       	/site/vorhersagen/catalog/c030514.cat    /cgi-bin/cdmsinfo?file=e030514.cat      
030515	H2CND                                        	May 2014       	/site/vorhersagen/catalog/c030515.cat    /cgi-bin/cdmsinfo?file=e030515.cat      
030516	H2C15NH                                      	May 2014       	/site/vorhersagen/catalog/c030516.cat    /cgi-bin/cdmsinfo?file=e030516.cat      
040515	l-C3D2                                       	May 2014       	/site/vorhersagen/catalog/c040515.cat    /cgi-bin/cdmsinfo?file=e040515.cat      
064516	o-c-SiC3                                     	May 2014       	/site/vorhersagen/catalog/c064516.cat    /cgi-bin/cdmsinfo?file=e064516.cat      
069505	n-C3H7CN                                     	May 2014       	/site/vorhersagen/catalog/c069505.cat    /cgi-bin/cdmsinfo?file=e069505.cat      
090501	CHOCHOHCH2OH                                 	May 2014       	/site/vorhersagen/catalog/c090501.cat    /cgi-bin/cdmsinfo?file=e090501.cat      
029506	N2H+, v = 0                                  	April 2014     	/site/vorhersagen/catalog/c029506.cat    /cgi-bin/cdmsinfo?file=e029506.cat      
043516	HNSi                                         	April 2014     	/site/vorhersagen/catalog/c043516.cat    /cgi-bin/cdmsinfo?file=e043516.cat      
058509	dibridged Si2H2                              	April 2014     	/site/vorhersagen/catalog/c058509.cat    /cgi-bin/cdmsinfo?file=e058509.cat      
058510	monobridged Si2H2                            	April 2014     	/site/vorhersagen/catalog/c058510.cat    /cgi-bin/cdmsinfo?file=e058510.cat      
062515	trans-HC(O)SH                                	April 2014     	/site/vorhersagen/catalog/c062515.cat    /cgi-bin/cdmsinfo?file=e062515.cat      
062516	cis-HC(O)SH                                  	April 2014     	/site/vorhersagen/catalog/c062516.cat    /cgi-bin/cdmsinfo?file=e062516.cat      
062514	C4N                                          	March 2014     	/site/vorhersagen/catalog/c062514.cat    /cgi-bin/cdmsinfo?file=e062514.cat      
076518	a'GG'g-CH2OHCH2CH2OH                         	March 2014     	/site/vorhersagen/catalog/c076518.cat    /cgi-bin/cdmsinfo?file=e076518.cat      
076519	gGG'g-CH2OHCH2CH2OH                          	March 2014     	/site/vorhersagen/catalog/c076519.cat    /cgi-bin/cdmsinfo?file=e076519.cat      
046523	29Si17O, v = 0   2                           	February 2014  	/site/vorhersagen/catalog/c046523.cat    /cgi-bin/cdmsinfo?file=e046523.cat      
047514	30Si17O, v = 0   2                           	February 2014  	/site/vorhersagen/catalog/c047514.cat    /cgi-bin/cdmsinfo?file=e047514.cat      
054512	E-HNCHCN                                     	February 2014  	/site/vorhersagen/catalog/c054512.cat    /cgi-bin/cdmsinfo?file=e054512.cat      
054513	Z-HNCHCN                                     	February 2014  	/site/vorhersagen/catalog/c054513.cat    /cgi-bin/cdmsinfo?file=e054513.cat      
054514	H2CNCN                                       	February 2014  	/site/vorhersagen/catalog/c054514.cat    /cgi-bin/cdmsinfo?file=e054514.cat      
044505	SiO, v = 0   10                              	January 2014   	/site/vorhersagen/catalog/c044505.cat    /cgi-bin/cdmsinfo?file=e044505.cat      
045504	29SiO, v = 0   6                             	January 2014   	/site/vorhersagen/catalog/c045504.cat    /cgi-bin/cdmsinfo?file=e045504.cat      
045519	Si17O, v = 0   4                             	January 2014   	/site/vorhersagen/catalog/c045519.cat    /cgi-bin/cdmsinfo?file=e045519.cat      
046502	30SiO, v = 0   6                             	January 2014   	/site/vorhersagen/catalog/c046502.cat    /cgi-bin/cdmsinfo?file=e046502.cat      
