Tag  	Molecule                                     	Date           	Cat Link                                 Metadata Link                           
051522	HC3N,  3 band                                	December 2011  	/site/vorhersagen/catalog/c051522.cat    /cgi-bin/cdmsinfo?file=e051522.cat      
051523	HC3N,  2 band                                	December 2011  	/site/vorhersagen/catalog/c051523.cat    /cgi-bin/cdmsinfo?file=e051523.cat      
051524	HC3N,  1 band                                	December 2011  	/site/vorhersagen/catalog/c051524.cat    /cgi-bin/cdmsinfo?file=e051524.cat      
052527	SiC2, v = 0                                  	December 2011  	/site/vorhersagen/catalog/c052527.cat    /cgi-bin/cdmsinfo?file=e052527.cat      
053510	29SiC2                                       	December 2011  	/site/vorhersagen/catalog/c053510.cat    /cgi-bin/cdmsinfo?file=e053510.cat      
054505	30SiC2                                       	December 2011  	/site/vorhersagen/catalog/c054505.cat    /cgi-bin/cdmsinfo?file=e054505.cat      
018503	15NH3                                        	November 2011  	/site/vorhersagen/catalog/c018503.cat    /cgi-bin/cdmsinfo?file=e018503.cat      
046514	CH3OCH3, v = 0                               	November 2011  	/site/vorhersagen/catalog/c046514.cat    /cgi-bin/cdmsinfo?file=e046514.cat      
051505	HC3N, (0,0,1,1)                              	November 2011  	/site/vorhersagen/catalog/c051505.cat    /cgi-bin/cdmsinfo?file=e051505.cat      
052531	H13CCCN, (0,0,1,1)                           	November 2011  	/site/vorhersagen/catalog/c052531.cat    /cgi-bin/cdmsinfo?file=e052531.cat      
052532	HC13CCN, (0,0,1,1)                           	November 2011  	/site/vorhersagen/catalog/c052532.cat    /cgi-bin/cdmsinfo?file=e052532.cat      
052533	HCC13CN, (0,0,1,1)                           	November 2011  	/site/vorhersagen/catalog/c052533.cat    /cgi-bin/cdmsinfo?file=e052533.cat      
052534	HCC13CN, (1,0,0,0)                           	November 2011  	/site/vorhersagen/catalog/c052534.cat    /cgi-bin/cdmsinfo?file=e052534.cat      
052535	HCC13CN, (1,0,0,1)                           	November 2011  	/site/vorhersagen/catalog/c052535.cat    /cgi-bin/cdmsinfo?file=e052535.cat      
032512	LiCCH                                        	October 2011   	/site/vorhersagen/catalog/c032512.cat    /cgi-bin/cdmsinfo?file=e032512.cat      
048505	NaCCH                                        	October 2011   	/site/vorhersagen/catalog/c048505.cat    /cgi-bin/cdmsinfo?file=e048505.cat      
049507	MgCCH                                        	October 2011   	/site/vorhersagen/catalog/c049507.cat    /cgi-bin/cdmsinfo?file=e049507.cat      
064515	KCCH                                         	October 2011   	/site/vorhersagen/catalog/c064515.cat    /cgi-bin/cdmsinfo?file=e064515.cat      
065511	CaCCH                                        	October 2011   	/site/vorhersagen/catalog/c065511.cat    /cgi-bin/cdmsinfo?file=e065511.cat      
055504	C3F                                          	September 2011 	/site/vorhersagen/catalog/c055504.cat    /cgi-bin/cdmsinfo?file=e055504.cat      
059506	C2Cl                                         	September 2011 	/site/vorhersagen/catalog/c059506.cat    /cgi-bin/cdmsinfo?file=e059506.cat      
061509	HSCO+                                        	September 2011 	/site/vorhersagen/catalog/c061509.cat    /cgi-bin/cdmsinfo?file=e061509.cat      
061510	HOCS+                                        	September 2011 	/site/vorhersagen/catalog/c061510.cat    /cgi-bin/cdmsinfo?file=e061510.cat      
061511	C237Cl                                       	September 2011 	/site/vorhersagen/catalog/c061511.cat    /cgi-bin/cdmsinfo?file=e061511.cat      
063506	c-C3HCN                                      	September 2011 	/site/vorhersagen/catalog/c063506.cat    /cgi-bin/cdmsinfo?file=e063506.cat      
065510	cis-HOSO+                                    	September 2011 	/site/vorhersagen/catalog/c065510.cat    /cgi-bin/cdmsinfo?file=e065510.cat      
071502	C3Cl                                         	September 2011 	/site/vorhersagen/catalog/c071502.cat    /cgi-bin/cdmsinfo?file=e071502.cat      
077506	C2H3C3N                                      	September 2011 	/site/vorhersagen/catalog/c077506.cat    /cgi-bin/cdmsinfo?file=e077506.cat      
077507	(E)-HC2CHCHCN                                	September 2011 	/site/vorhersagen/catalog/c077507.cat    /cgi-bin/cdmsinfo?file=e077507.cat      
077508	(Z)-HC2CHCHCN                                	September 2011 	/site/vorhersagen/catalog/c077508.cat    /cgi-bin/cdmsinfo?file=e077508.cat      
046515	NS, v = 0                                    	August 2011    	/site/vorhersagen/catalog/c046515.cat    /cgi-bin/cdmsinfo?file=e046515.cat      
046516	NS, v = 1                                    	August 2011    	/site/vorhersagen/catalog/c046516.cat    /cgi-bin/cdmsinfo?file=e046516.cat      
046517	NS, v = 1   0 band                           	August 2011    	/site/vorhersagen/catalog/c046517.cat    /cgi-bin/cdmsinfo?file=e046517.cat      
047509	N33S                                         	August 2011    	/site/vorhersagen/catalog/c047509.cat    /cgi-bin/cdmsinfo?file=e047509.cat      
047510	15NS                                         	August 2011    	/site/vorhersagen/catalog/c047510.cat    /cgi-bin/cdmsinfo?file=e047510.cat      
048509	N34S                                         	August 2011    	/site/vorhersagen/catalog/c048509.cat    /cgi-bin/cdmsinfo?file=e048509.cat      
049511	15N34S                                       	August 2011    	/site/vorhersagen/catalog/c049511.cat    /cgi-bin/cdmsinfo?file=e049511.cat      
050516	N36S                                         	August 2011    	/site/vorhersagen/catalog/c050516.cat    /cgi-bin/cdmsinfo?file=e050516.cat      
042512	NCO                                          	July 2011      	/site/vorhersagen/catalog/c042512.cat    /cgi-bin/cdmsinfo?file=e042512.cat      
067503	c-C3H5CN                                     	July 2011      	/site/vorhersagen/catalog/c067503.cat    /cgi-bin/cdmsinfo?file=e067503.cat      
076517	OSiS                                         	July 2011      	/site/vorhersagen/catalog/c076517.cat    /cgi-bin/cdmsinfo?file=e076517.cat      
078502	46TiO2                                       	June 2011      	/site/vorhersagen/catalog/c078502.cat    /cgi-bin/cdmsinfo?file=e078502.cat      
080504	TiO2                                         	June 2011      	/site/vorhersagen/catalog/c080504.cat    /cgi-bin/cdmsinfo?file=e080504.cat      
082502	50TiO2                                       	June 2011      	/site/vorhersagen/catalog/c082502.cat    /cgi-bin/cdmsinfo?file=e082502.cat      
019501	NHD2                                         	May 2011       	/site/vorhersagen/catalog/c019501.cat    /cgi-bin/cdmsinfo?file=e019501.cat      
020502	D2O                                          	May 2011       	/site/vorhersagen/catalog/c020502.cat    /cgi-bin/cdmsinfo?file=e020502.cat      
058502	NaCl, v = 0   4                              	February 2011  	/site/vorhersagen/catalog/c058502.cat    /cgi-bin/cdmsinfo?file=e058502.cat      
069506	i-C3H7CN                                     	February 2011  	/site/vorhersagen/catalog/c069506.cat    /cgi-bin/cdmsinfo?file=e069506.cat      
074516	CHOCOOH                                      	February 2011  	/site/vorhersagen/catalog/c074516.cat    /cgi-bin/cdmsinfo?file=e074516.cat      
076514	CH2OHCOOH                                    	February 2011  	/site/vorhersagen/catalog/c076514.cat    /cgi-bin/cdmsinfo?file=e076514.cat      
074505	KCl, v = 0   4                               	January 2011   	/site/vorhersagen/catalog/c074505.cat    /cgi-bin/cdmsinfo?file=e074505.cat      
029517	SiH                                          	December 2010  	/site/vorhersagen/catalog/c029517.cat    /cgi-bin/cdmsinfo?file=e029517.cat      
029516	N2H+,  2 IR band                             	November 2010  	/site/vorhersagen/catalog/c029516.cat    /cgi-bin/cdmsinfo?file=e029516.cat      
078503	46TiS                                        	November 2010  	/site/vorhersagen/catalog/c078503.cat    /cgi-bin/cdmsinfo?file=e078503.cat      
080505	TiS                                          	November 2010  	/site/vorhersagen/catalog/c080505.cat    /cgi-bin/cdmsinfo?file=e080505.cat      
082503	50TiS                                        	November 2010  	/site/vorhersagen/catalog/c082503.cat    /cgi-bin/cdmsinfo?file=e082503.cat      
029515	HCO+,  2 IR band                             	September 2010 	/site/vorhersagen/catalog/c029515.cat    /cgi-bin/cdmsinfo?file=e029515.cat      
012503	C+                                           	August 2010    	/site/vorhersagen/catalog/c012503.cat    /cgi-bin/cdmsinfo?file=e012503.cat      
013506	13C+                                         	August 2010    	/site/vorhersagen/catalog/c013506.cat    /cgi-bin/cdmsinfo?file=e013506.cat      
014506	N+                                           	August 2010    	/site/vorhersagen/catalog/c014506.cat    /cgi-bin/cdmsinfo?file=e014506.cat      
016504	O                                            	August 2010    	/site/vorhersagen/catalog/c016504.cat    /cgi-bin/cdmsinfo?file=e016504.cat      
027515	Al                                           	August 2010    	/site/vorhersagen/catalog/c027515.cat    /cgi-bin/cdmsinfo?file=e027515.cat      
028517	Si                                           	August 2010    	/site/vorhersagen/catalog/c028517.cat    /cgi-bin/cdmsinfo?file=e028517.cat      
028518	Si+                                          	August 2010    	/site/vorhersagen/catalog/c028518.cat    /cgi-bin/cdmsinfo?file=e028518.cat      
032511	S                                            	August 2010    	/site/vorhersagen/catalog/c032511.cat    /cgi-bin/cdmsinfo?file=e032511.cat      
056516	Fe                                           	August 2010    	/site/vorhersagen/catalog/c056516.cat    /cgi-bin/cdmsinfo?file=e056516.cat      
056517	Fe+                                          	August 2010    	/site/vorhersagen/catalog/c056517.cat    /cgi-bin/cdmsinfo?file=e056517.cat      
025501	CCH, v = 0                                   	July 2010      	/site/vorhersagen/catalog/c025501.cat    /cgi-bin/cdmsinfo?file=e025501.cat      
025503	CCH, v2 = 1                                  	July 2010      	/site/vorhersagen/catalog/c025503.cat    /cgi-bin/cdmsinfo?file=e025503.cat      
025505	CCH, v2 = 2                                  	July 2010      	/site/vorhersagen/catalog/c025505.cat    /cgi-bin/cdmsinfo?file=e025505.cat      
025506	CCH, v3 = 1                                  	July 2010      	/site/vorhersagen/catalog/c025506.cat    /cgi-bin/cdmsinfo?file=e025506.cat      
025507	CCH,  2 FIR band                             	July 2010      	/site/vorhersagen/catalog/c025507.cat    /cgi-bin/cdmsinfo?file=e025507.cat      
025508	CCH,  3 IR band                              	July 2010      	/site/vorhersagen/catalog/c025508.cat    /cgi-bin/cdmsinfo?file=e025508.cat      
025509	CCH,  2 +  3 IR band                         	July 2010      	/site/vorhersagen/catalog/c025509.cat    /cgi-bin/cdmsinfo?file=e025509.cat      
025510	CCH, 5 2 IR band                             	July 2010      	/site/vorhersagen/catalog/c025510.cat    /cgi-bin/cdmsinfo?file=e025510.cat      
020503	H2DO+                                        	June 2010      	/site/vorhersagen/catalog/c020503.cat    /cgi-bin/cdmsinfo?file=e020503.cat      
013504	CH+, v = 1   0 band                          	May 2010       	/site/vorhersagen/catalog/c013504.cat    /cgi-bin/cdmsinfo?file=e013504.cat      
013505	CH+, v = 2   0 band                          	May 2010       	/site/vorhersagen/catalog/c013505.cat    /cgi-bin/cdmsinfo?file=e013505.cat      
014504	13CH+, v = 1   0 band                        	May 2010       	/site/vorhersagen/catalog/c014504.cat    /cgi-bin/cdmsinfo?file=e014504.cat      
014505	CD+, v = 1   0 band                          	May 2010       	/site/vorhersagen/catalog/c014505.cat    /cgi-bin/cdmsinfo?file=e014505.cat      
013503	CH+                                          	April 2010     	/site/vorhersagen/catalog/c013503.cat    /cgi-bin/cdmsinfo?file=e013503.cat      
014502	13CH+                                        	April 2010     	/site/vorhersagen/catalog/c014502.cat    /cgi-bin/cdmsinfo?file=e014502.cat      
014503	CD+                                          	April 2010     	/site/vorhersagen/catalog/c014503.cat    /cgi-bin/cdmsinfo?file=e014503.cat      
015502	13CD+                                        	April 2010     	/site/vorhersagen/catalog/c015502.cat    /cgi-bin/cdmsinfo?file=e015502.cat      
015503	14CH+                                        	April 2010     	/site/vorhersagen/catalog/c015503.cat    /cgi-bin/cdmsinfo?file=e015503.cat      
015504	CT+                                          	April 2010     	/site/vorhersagen/catalog/c015504.cat    /cgi-bin/cdmsinfo?file=e015504.cat      
031507	CF+, v = 0, 1                                	February 2010  	/site/vorhersagen/catalog/c031507.cat    /cgi-bin/cdmsinfo?file=e031507.cat      
032509	13CF+, v = 0, 1                              	February 2010  	/site/vorhersagen/catalog/c032509.cat    /cgi-bin/cdmsinfo?file=e032509.cat      
032510	O2, a 1                                      	February 2010  	/site/vorhersagen/catalog/c032510.cat    /cgi-bin/cdmsinfo?file=e032510.cat      
056515	CaO, v = 0, 1                                	February 2010  	/site/vorhersagen/catalog/c056515.cat    /cgi-bin/cdmsinfo?file=e056515.cat      
072501	CaS, v = 0, 1                                	February 2010  	/site/vorhersagen/catalog/c072501.cat    /cgi-bin/cdmsinfo?file=e072501.cat      
026503	C13CH                                        	January 2010   	/site/vorhersagen/catalog/c026503.cat    /cgi-bin/cdmsinfo?file=e026503.cat      
032508	O2, v = 0                                    	January 2010   	/site/vorhersagen/catalog/c032508.cat    /cgi-bin/cdmsinfo?file=e032508.cat      
034503	O18O                                         	January 2010   	/site/vorhersagen/catalog/c034503.cat    /cgi-bin/cdmsinfo?file=e034503.cat      
036505	18O2                                         	January 2010   	/site/vorhersagen/catalog/c036505.cat    /cgi-bin/cdmsinfo?file=e036505.cat      
050514	C3N                                          	January 2010   	/site/vorhersagen/catalog/c050514.cat    /cgi-bin/cdmsinfo?file=e050514.cat      
028516	AlH                                          	December 2009  	/site/vorhersagen/catalog/c028516.cat    /cgi-bin/cdmsinfo?file=e028516.cat      
041505	CH3CN, v = 0                                 	December 2009  	/site/vorhersagen/catalog/c041505.cat    /cgi-bin/cdmsinfo?file=e041505.cat      
042508	13CH3CN, v = 0                               	December 2009  	/site/vorhersagen/catalog/c042508.cat    /cgi-bin/cdmsinfo?file=e042508.cat      
042509	CH313CN, v = 0                               	December 2009  	/site/vorhersagen/catalog/c042509.cat    /cgi-bin/cdmsinfo?file=e042509.cat      
042510	CH3C15N, v = 0                               	December 2009  	/site/vorhersagen/catalog/c042510.cat    /cgi-bin/cdmsinfo?file=e042510.cat      
043513	13CH313CN                                    	December 2009  	/site/vorhersagen/catalog/c043513.cat    /cgi-bin/cdmsinfo?file=e043513.cat      
043512	HONC                                         	November 2009  	/site/vorhersagen/catalog/c043512.cat    /cgi-bin/cdmsinfo?file=e043512.cat      
059505	HSCN                                         	November 2009  	/site/vorhersagen/catalog/c059505.cat    /cgi-bin/cdmsinfo?file=e059505.cat      
103501	c-C6H5CN                                     	November 2009  	/site/vorhersagen/catalog/c103501.cat    /cgi-bin/cdmsinfo?file=e103501.cat      
027514	C2H3+                                        	October 2009   	/site/vorhersagen/catalog/c027514.cat    /cgi-bin/cdmsinfo?file=e027514.cat      
058507	CH3CP                                        	October 2009   	/site/vorhersagen/catalog/c058507.cat    /cgi-bin/cdmsinfo?file=e058507.cat      
024502	LiOH                                         	September 2009 	/site/vorhersagen/catalog/c024502.cat    /cgi-bin/cdmsinfo?file=e024502.cat      
028508	DNC                                          	September 2009 	/site/vorhersagen/catalog/c028508.cat    /cgi-bin/cdmsinfo?file=e028508.cat      
028515	HN13C                                        	September 2009 	/site/vorhersagen/catalog/c028515.cat    /cgi-bin/cdmsinfo?file=e028515.cat      
030510	DCO+                                         	September 2009 	/site/vorhersagen/catalog/c030510.cat    /cgi-bin/cdmsinfo?file=e030510.cat      
026507	10BO                                         	August 2009    	/site/vorhersagen/catalog/c026507.cat    /cgi-bin/cdmsinfo?file=e026507.cat      
027513	BO                                           	August 2009    	/site/vorhersagen/catalog/c027513.cat    /cgi-bin/cdmsinfo?file=e027513.cat      
040509	NaOH                                         	August 2009    	/site/vorhersagen/catalog/c040509.cat    /cgi-bin/cdmsinfo?file=e040509.cat      
055502	C2H5CN, v = 0                                	August 2009    	/site/vorhersagen/catalog/c055502.cat    /cgi-bin/cdmsinfo?file=e055502.cat      
056514	KOH                                          	August 2009    	/site/vorhersagen/catalog/c056514.cat    /cgi-bin/cdmsinfo?file=e056514.cat      
058506	41KOH                                        	August 2009    	/site/vorhersagen/catalog/c058506.cat    /cgi-bin/cdmsinfo?file=e058506.cat      
074503	aa-(C2H5)2O                                  	August 2009    	/site/vorhersagen/catalog/c074503.cat    /cgi-bin/cdmsinfo?file=e074503.cat      
074515	ag-(C2H5)2O                                  	August 2009    	/site/vorhersagen/catalog/c074515.cat    /cgi-bin/cdmsinfo?file=e074515.cat      
027512	H10BO                                        	July 2009      	/site/vorhersagen/catalog/c027512.cat    /cgi-bin/cdmsinfo?file=e027512.cat      
028514	HBO                                          	July 2009      	/site/vorhersagen/catalog/c028514.cat    /cgi-bin/cdmsinfo?file=e028514.cat      
017503	CH3D                                         	June 2009      	/site/vorhersagen/catalog/c017503.cat    /cgi-bin/cdmsinfo?file=e017503.cat      
018504	13CH3D                                       	June 2009      	/site/vorhersagen/catalog/c018504.cat    /cgi-bin/cdmsinfo?file=e018504.cat      
039506	l-C3HD                                       	June 2009      	/site/vorhersagen/catalog/c039506.cat    /cgi-bin/cdmsinfo?file=e039506.cat      
051521	l-C4HD                                       	June 2009      	/site/vorhersagen/catalog/c051521.cat    /cgi-bin/cdmsinfo?file=e051521.cat      
028512	CO, v = 1   3                                	May 2009       	/site/vorhersagen/catalog/c028512.cat    /cgi-bin/cdmsinfo?file=e028512.cat      
043510	HOCN                                         	May 2009       	/site/vorhersagen/catalog/c043510.cat    /cgi-bin/cdmsinfo?file=e043510.cat      
043511	HNCO                                         	May 2009       	/site/vorhersagen/catalog/c043511.cat    /cgi-bin/cdmsinfo?file=e043511.cat      
046513	HC(O)15NH2                                   	May 2009       	/site/vorhersagen/catalog/c046513.cat    /cgi-bin/cdmsinfo?file=e046513.cat      
047508	HC(18O)NH2                                   	May 2009       	/site/vorhersagen/catalog/c047508.cat    /cgi-bin/cdmsinfo?file=e047508.cat      
055503	CCP                                          	April 2009     	/site/vorhersagen/catalog/c055503.cat    /cgi-bin/cdmsinfo?file=e055503.cat      
056512	13CCP                                        	April 2009     	/site/vorhersagen/catalog/c056512.cat    /cgi-bin/cdmsinfo?file=e056512.cat      
056513	C13CP                                        	April 2009     	/site/vorhersagen/catalog/c056513.cat    /cgi-bin/cdmsinfo?file=e056513.cat      
074514	C2H5OCHO                                     	April 2009     	/site/vorhersagen/catalog/c074514.cat    /cgi-bin/cdmsinfo?file=e074514.cat      
030507	15NNH+                                       	March 2009     	/site/vorhersagen/catalog/c030507.cat    /cgi-bin/cdmsinfo?file=e030507.cat      
030508	N15NH+                                       	March 2009     	/site/vorhersagen/catalog/c030508.cat    /cgi-bin/cdmsinfo?file=e030508.cat      
030509	N2D+                                         	March 2009     	/site/vorhersagen/catalog/c030509.cat    /cgi-bin/cdmsinfo?file=e030509.cat      
031509	15NND+                                       	March 2009     	/site/vorhersagen/catalog/c031509.cat    /cgi-bin/cdmsinfo?file=e031509.cat      
031510	N15ND+                                       	March 2009     	/site/vorhersagen/catalog/c031510.cat    /cgi-bin/cdmsinfo?file=e031510.cat      
037501	C3H, v = 0, v4 = 1, 2                        	March 2009     	/site/vorhersagen/catalog/c037501.cat    /cgi-bin/cdmsinfo?file=e037501.cat      
038503	C3D, v = 0, v4 = 1, 2                        	March 2009     	/site/vorhersagen/catalog/c038503.cat    /cgi-bin/cdmsinfo?file=e038503.cat      
053516	13CCCO                                       	February 2009  	/site/vorhersagen/catalog/c053516.cat    /cgi-bin/cdmsinfo?file=e053516.cat      
053517	C13CCO                                       	February 2009  	/site/vorhersagen/catalog/c053517.cat    /cgi-bin/cdmsinfo?file=e053517.cat      
053518	CC13CO                                       	February 2009  	/site/vorhersagen/catalog/c053518.cat    /cgi-bin/cdmsinfo?file=e053518.cat      
054511	C318O                                        	February 2009  	/site/vorhersagen/catalog/c054511.cat    /cgi-bin/cdmsinfo?file=e054511.cat      
056508	C2H5C15N                                     	February 2009  	/site/vorhersagen/catalog/c056508.cat    /cgi-bin/cdmsinfo?file=e056508.cat      
056509	CH3CHDCN                                     	February 2009  	/site/vorhersagen/catalog/c056509.cat    /cgi-bin/cdmsinfo?file=e056509.cat      
056510	CH2DipCH2CN                                  	February 2009  	/site/vorhersagen/catalog/c056510.cat    /cgi-bin/cdmsinfo?file=e056510.cat      
056511	CH2DoopCH2CN                                 	February 2009  	/site/vorhersagen/catalog/c056511.cat    /cgi-bin/cdmsinfo?file=e056511.cat      
025504	C2H                                          	January 2009   	/site/vorhersagen/catalog/c025504.cat    /cgi-bin/cdmsinfo?file=e025504.cat      
026506	CN                                           	January 2009   	/site/vorhersagen/catalog/c026506.cat    /cgi-bin/cdmsinfo?file=e026506.cat      
043509	HCNO                                         	January 2009   	/site/vorhersagen/catalog/c043509.cat    /cgi-bin/cdmsinfo?file=e043509.cat      
044513	DCNO                                         	January 2009   	/site/vorhersagen/catalog/c044513.cat    /cgi-bin/cdmsinfo?file=e044513.cat      
044514	H13CNO                                       	January 2009   	/site/vorhersagen/catalog/c044514.cat    /cgi-bin/cdmsinfo?file=e044514.cat      
044515	HC15NO                                       	January 2009   	/site/vorhersagen/catalog/c044515.cat    /cgi-bin/cdmsinfo?file=e044515.cat      
049509	C4H                                          	January 2009   	/site/vorhersagen/catalog/c049509.cat    /cgi-bin/cdmsinfo?file=e049509.cat      
052501	C3O, v = 0                                   	January 2009   	/site/vorhersagen/catalog/c052501.cat    /cgi-bin/cdmsinfo?file=e052501.cat      
052530	C3O, v5 = 1                                  	January 2009   	/site/vorhersagen/catalog/c052530.cat    /cgi-bin/cdmsinfo?file=e052530.cat      
038507	D234S                                        	December 2008  	/site/vorhersagen/catalog/c038507.cat    /cgi-bin/cdmsinfo?file=e038507.cat      
054510	HCCCHO                                       	December 2008  	/site/vorhersagen/catalog/c054510.cat    /cgi-bin/cdmsinfo?file=e054510.cat      
058505	s-C2H5CHO                                    	December 2008  	/site/vorhersagen/catalog/c058505.cat    /cgi-bin/cdmsinfo?file=e058505.cat      
035503	H233S                                        	November 2008  	/site/vorhersagen/catalog/c035503.cat    /cgi-bin/cdmsinfo?file=e035503.cat      
036504	H234S                                        	November 2008  	/site/vorhersagen/catalog/c036504.cat    /cgi-bin/cdmsinfo?file=e036504.cat      
037503	HD34S                                        	November 2008  	/site/vorhersagen/catalog/c037503.cat    /cgi-bin/cdmsinfo?file=e037503.cat      
034502	H2S                                          	October 2008   	/site/vorhersagen/catalog/c034502.cat    /cgi-bin/cdmsinfo?file=e034502.cat      
035502	HDS                                          	October 2008   	/site/vorhersagen/catalog/c035502.cat    /cgi-bin/cdmsinfo?file=e035502.cat      
036503	D2S                                          	October 2008   	/site/vorhersagen/catalog/c036503.cat    /cgi-bin/cdmsinfo?file=e036503.cat      
044501	CS, v = 0   4                                	October 2008   	/site/vorhersagen/catalog/c044501.cat    /cgi-bin/cdmsinfo?file=e044501.cat      
074513	C5N                                          	October 2008   	/site/vorhersagen/catalog/c074513.cat    /cgi-bin/cdmsinfo?file=e074513.cat      
089502	CH3CHNH2COOH, I                              	October 2008   	/site/vorhersagen/catalog/c089502.cat    /cgi-bin/cdmsinfo?file=e089502.cat      
089503	CH3CHNH2COOH, II                             	October 2008   	/site/vorhersagen/catalog/c089503.cat    /cgi-bin/cdmsinfo?file=e089503.cat      
019504	15NH2D                                       	September 2008 	/site/vorhersagen/catalog/c019504.cat    /cgi-bin/cdmsinfo?file=e019504.cat      
020504	15NHD2                                       	September 2008 	/site/vorhersagen/catalog/c020504.cat    /cgi-bin/cdmsinfo?file=e020504.cat      
032507	HD13CO                                       	September 2008 	/site/vorhersagen/catalog/c032507.cat    /cgi-bin/cdmsinfo?file=e032507.cat      
033506	D213CO                                       	September 2008 	/site/vorhersagen/catalog/c033506.cat    /cgi-bin/cdmsinfo?file=e033506.cat      
050515	C4D                                          	September 2008 	/site/vorhersagen/catalog/c050515.cat    /cgi-bin/cdmsinfo?file=e050515.cat      
040502	CH3CCH, v = 0                                	August 2008    	/site/vorhersagen/catalog/c040502.cat    /cgi-bin/cdmsinfo?file=e040502.cat      
064507	CH3C4H                                       	August 2008    	/site/vorhersagen/catalog/c064507.cat    /cgi-bin/cdmsinfo?file=e064507.cat      
012502	BH                                           	July 2008      	/site/vorhersagen/catalog/c012502.cat    /cgi-bin/cdmsinfo?file=e012502.cat      
044512	CS+                                          	July 2008      	/site/vorhersagen/catalog/c044512.cat    /cgi-bin/cdmsinfo?file=e044512.cat      
065509	HS2                                          	July 2008      	/site/vorhersagen/catalog/c065509.cat    /cgi-bin/cdmsinfo?file=e065509.cat      
053515	C2H3CN, v = 0                                	May 2008       	/site/vorhersagen/catalog/c053515.cat    /cgi-bin/cdmsinfo?file=e053515.cat      
054506	H213CCHCN, v = 0                             	May 2008       	/site/vorhersagen/catalog/c054506.cat    /cgi-bin/cdmsinfo?file=e054506.cat      
054507	H2C13CHCN, v = 0                             	May 2008       	/site/vorhersagen/catalog/c054507.cat    /cgi-bin/cdmsinfo?file=e054507.cat      
054508	H2CCH13CN, v = 0                             	May 2008       	/site/vorhersagen/catalog/c054508.cat    /cgi-bin/cdmsinfo?file=e054508.cat      
054509	H2CCHC15N                                    	May 2008       	/site/vorhersagen/catalog/c054509.cat    /cgi-bin/cdmsinfo?file=e054509.cat      
005502	HeH+                                         	April 2008     	/site/vorhersagen/catalog/c005502.cat    /cgi-bin/cdmsinfo?file=e005502.cat      
045511	PN                                           	April 2008     	/site/vorhersagen/catalog/c045511.cat    /cgi-bin/cdmsinfo?file=e045511.cat      
046511	P15N                                         	April 2008     	/site/vorhersagen/catalog/c046511.cat    /cgi-bin/cdmsinfo?file=e046511.cat      
047507	PO                                           	April 2008     	/site/vorhersagen/catalog/c047507.cat    /cgi-bin/cdmsinfo?file=e047507.cat      
052508	DC3N, v = 0                                  	March 2008     	/site/vorhersagen/catalog/c052508.cat    /cgi-bin/cdmsinfo?file=e052508.cat      
052513	DC3N, v7 = 1                                 	March 2008     	/site/vorhersagen/catalog/c052513.cat    /cgi-bin/cdmsinfo?file=e052513.cat      
053511	D13CCCN                                      	March 2008     	/site/vorhersagen/catalog/c053511.cat    /cgi-bin/cdmsinfo?file=e053511.cat      
053512	DC13CCN                                      	March 2008     	/site/vorhersagen/catalog/c053512.cat    /cgi-bin/cdmsinfo?file=e053512.cat      
053513	DCC13CN                                      	March 2008     	/site/vorhersagen/catalog/c053513.cat    /cgi-bin/cdmsinfo?file=e053513.cat      
053514	DC315N                                       	March 2008     	/site/vorhersagen/catalog/c053514.cat    /cgi-bin/cdmsinfo?file=e053514.cat      
046509	H2CS                                         	February 2008  	/site/vorhersagen/catalog/c046509.cat    /cgi-bin/cdmsinfo?file=e046509.cat      
027511	HCCD                                         	January 2008   	/site/vorhersagen/catalog/c027511.cat    /cgi-bin/cdmsinfo?file=e027511.cat      
052528	SiC2, v3 = 1                                 	January 2008   	/site/vorhersagen/catalog/c052528.cat    /cgi-bin/cdmsinfo?file=e052528.cat      
052529	SiC2, v3 = 2                                 	January 2008   	/site/vorhersagen/catalog/c052529.cat    /cgi-bin/cdmsinfo?file=e052529.cat      
053509	Si13CC                                       	January 2008   	/site/vorhersagen/catalog/c053509.cat    /cgi-bin/cdmsinfo?file=e053509.cat      
021501	NeH+                                         	December 2007  	/site/vorhersagen/catalog/c021501.cat    /cgi-bin/cdmsinfo?file=e021501.cat      
022501	NeD+                                         	December 2007  	/site/vorhersagen/catalog/c022501.cat    /cgi-bin/cdmsinfo?file=e022501.cat      
023501	22NeH+                                       	December 2007  	/site/vorhersagen/catalog/c023501.cat    /cgi-bin/cdmsinfo?file=e023501.cat      
028504	HCNH+                                        	December 2007  	/site/vorhersagen/catalog/c028504.cat    /cgi-bin/cdmsinfo?file=e028504.cat      
029514	H13CNH+                                      	December 2007  	/site/vorhersagen/catalog/c029514.cat    /cgi-bin/cdmsinfo?file=e029514.cat      
019503	H3O+                                         	October 2007   	/site/vorhersagen/catalog/c019503.cat    /cgi-bin/cdmsinfo?file=e019503.cat      
029507	HCO+, v = 0                                  	October 2007   	/site/vorhersagen/catalog/c029507.cat    /cgi-bin/cdmsinfo?file=e029507.cat      
029508	HCO+, v2 = 1                                 	October 2007   	/site/vorhersagen/catalog/c029508.cat    /cgi-bin/cdmsinfo?file=e029508.cat      
030504	H13CO+                                       	October 2007   	/site/vorhersagen/catalog/c030504.cat    /cgi-bin/cdmsinfo?file=e030504.cat      
